Identificador,Genero,Estado_Civil,Edad,Graduado,Profesion,Experiencia_Laboral,Puntuacion_Gasto,Tamano_Familiar,Segmento,Gasto_Average,Gasto_High,Gasto_Low
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,D,False,False,True
462643,Female,Yes,38,Yes,Engineer,1.0,Average,3.0,A,True,False,False
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,B,False,False,True
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,B,False,True,False
462669,Female,Yes,40,Yes,Entertainment,1.0,High,6.0,A,False,True,False
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,C,True,False,False
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,C,False,False,True
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,D,False,False,True
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,D,False,False,True
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,C,True,False,False
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,A,False,False,True
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,D,False,False,True
461230,Female,No,19,No,Executive,0.0,Low,3.0,D,False,False,True
459573,Male,Yes,70,No,Lawyer,1.0,Low,1.0,A,False,False,True
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,B,False,False,True
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,C,False,False,True
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,D,False,False,True
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,B,False,False,True
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,B,True,False,False
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,C,False,True,False
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,A,False,False,True
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,D,False,False,True
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,A,False,False,True
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,B,False,False,True
461021,Female,Yes,58,No,Executive,1.0,Average,3.0,B,True,False,False
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,C,True,False,False
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,A,False,False,True
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,C,True,False,False
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,B,False,False,True
461996,Female,No,35,No,Artist,5.0,Low,4.0,C,False,False,True
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,C,False,False,True
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,A,False,False,True
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,D,False,False,True
467010,Male,No,26,No,Homemaker,9.0,Low,3.0,D,False,False,True
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,D,False,True,False
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,D,False,False,True
465572,Male,No,32,No,Doctor,5.0,Low,1.0,D,False,False,True
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,D,True,False,False
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,A,False,False,True
467442,Male,Yes,56,Yes,Artist,1.0,Average,2.0,C,True,False,False
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,B,False,False,True
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,D,False,False,True
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,A,False,False,True
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,C,False,False,True
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,A,False,False,True
463156,Female,Yes,79,No,Lawyer,1.0,High,2.0,A,False,True,False
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,B,True,False,False
462384,Female,No,29,Yes,Healthcare,1.0,Low,1.0,A,False,False,True
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,D,False,False,True
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,A,False,False,True
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,B,True,False,False
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,C,True,False,False
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,A,False,False,True
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,C,True,False,False
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,A,False,False,True
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,B,True,False,False
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,D,False,False,True
462267,Male,No,32,Yes,Doctor,8.0,Low,2.0,D,False,False,True
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,C,True,False,False
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,3.0,D,False,False,True
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,C,True,False,False
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,C,True,False,False
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,D,False,True,False
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,A,False,True,False
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,A,False,True,False
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,A,False,False,True
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,A,True,False,False
464580,Male,No,27,No,Artist,8.0,Low,4.0,A,False,False,True
